,Demographic,DBN,School Name,Cohort,Total Cohort,Total Grads - n,Total Grads - % of cohort,Total Regents - n,Total Regents - % of cohort,Total Regents - % of grads,Advanced Regents - n,Advanced Regents - % of cohort,Advanced Regents - % of grads,Regents w/o Advanced - n,Regents w/o Advanced - % of cohort,Regents w/o Advanced - % of grads,Local - n,Local - % of cohort,Local - % of grads,Still Enrolled - n,Still Enrolled - % of cohort,Dropped Out - n,Dropped Out - % of cohort,BORO,District,Income,y
723,Total Cohort,09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,2005,72,69,95.8,60,83.3,87.0,20,27.8,29.0,40,55.6,58.0,9,12.5,13.0,1,1.4,1,1.4,X,09,27243,84.5
724,Total Cohort,09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,2006,103,87,84.5,73,70.90000000000002,83.9,25,24.3,28.7,48,46.6,55.2,14,13.6,16.1,14,13.6,1,1.0,X,09,27243,
725,Total Cohort,09X414,JONATHAN LEVIN HIGH SCHOOL FOR MEDIA,2001,6,s,,s,,,s,,,s,,,s,,,s,,s,,X,09,27243,63.6
726,Total Cohort,09X414,JONATHAN LEVIN HIGH SCHOOL FOR MEDIA,2002,55,35,63.6,15,27.3,42.9,0,0.0,0.0,15,27.3,42.9,21,38.2,60.0,14,25.5,5,9.1,X,09,27243,31.6
727,Total Cohort,09X414,JONATHAN LEVIN HIGH SCHOOL FOR MEDIA,2003,76,24,31.6,15,19.7,62.5,0,0.0,0.0,15,19.7,62.5,9,11.8,37.5,31,40.8,18,23.7,X,09,27243,57.5
728,Total Cohort,09X414,JONATHAN LEVIN HIGH SCHOOL FOR MEDIA,2004,73,42,57.5,25,34.2,59.5,0,0.0,0.0,25,34.2,59.5,17,23.3,40.5,25,34.2,3,4.1,X,09,27243,77.4
729,Total Cohort,09X414,JONATHAN LEVIN HIGH SCHOOL FOR MEDIA,2005,62,48,77.4,30,48.4,62.5,0,0.0,0.0,30,48.4,62.5,18,29.0,37.5,5,8.1,2,3.2,X,09,27243,50.4
730,Total Cohort,09X414,JONATHAN LEVIN HIGH SCHOOL FOR MEDIA,2006,123,62,50.4,43,35.0,69.4,1,0.8,1.6,42,34.1,67.7,19,15.4,30.6,45,36.6,5,4.1,X,09,27243,
731,Total Cohort,09X505,BRONX SCHOOL FOR LAW  GOVERNMENT AND,2001,43,29,67.4,18,41.9,62.1,1,2.3,3.4,17,39.5,58.6,11,25.6,37.9,8,18.6,3,7.0,X,09,27243,62.5
732,Total Cohort,09X505,BRONX SCHOOL FOR LAW  GOVERNMENT AND,2002,72,45,62.5,32,44.4,71.1,2,2.8,4.4,30,41.7,66.7,13,18.1,28.9,12,16.7,12,16.7,X,09,27243,68.7
733,Total Cohort,09X505,BRONX SCHOOL FOR LAW  GOVERNMENT AND,2003,115,79,68.7,41,35.70000000000001,51.9,6,5.2,7.6,35,30.4,44.3,38,33.0,48.1,22,19.1,9,7.8,X,09,27243,68.5
734,Total Cohort,09X505,BRONX SCHOOL FOR LAW  GOVERNMENT AND,2004,127,87,68.5,60,47.2,69.0,5,3.9,5.7,55,43.3,63.2,27,21.3,31.0,23,18.1,15,11.8,X,09,27243,67.3
735,Total Cohort,09X505,BRONX SCHOOL FOR LAW  GOVERNMENT AND,2005,98,66,67.3,45,45.9,68.2,4,4.1,6.1,41,41.8,62.1,21,21.4,31.8,24,24.5,5,5.1,X,09,27243,82.8
736,Total Cohort,09X505,BRONX SCHOOL FOR LAW  GOVERNMENT AND,2006,122,101,82.8,75,61.5,74.3,4,3.3,4.0,71,58.2,70.3,26,21.3,25.7,10,8.2,5,4.1,X,09,27243,
737,Total Cohort,09X517,FREDERICK DOUGLASS ACADEMY III SECOND,2003,1,s,,s,,,s,,,s,,,s,,,s,,s,,X,09,27243,87.9
738,Total Cohort,09X517,FREDERICK DOUGLASS ACADEMY III SECOND,2004,66,58,87.9,37,56.1,63.8,1,1.5,1.7,36,54.5,62.1,21,31.8,36.2,5,7.6,3,4.5,X,09,27243,76.8
739,Total Cohort,09X517,FREDERICK DOUGLASS ACADEMY III SECOND,2005,69,53,76.8,32,46.4,60.4,1,1.4,1.9,31,44.9,58.5,21,30.4,39.6,14,20.3,1,1.4,X,09,27243,81.59999999999998
740,Total Cohort,09X517,FREDERICK DOUGLASS ACADEMY III SECOND,2006,87,71,81.59999999999998,45,51.7,63.4,0,0.0,0.0,45,51.7,63.4,26,29.9,36.6,13,14.9,1,1.1,X,09,27243,
741,Total Cohort,09X525,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,2001,136,103,75.7,1,0.7,1.0,1,0.7,1.0,0,0.0,0.0,102,75.0,99.0,15,11.0,11,8.1,X,09,27243,68.3
742,Total Cohort,09X525,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,2002,145,99,68.3,50,34.5,50.5,4,2.8,4.0,46,31.7,46.5,49,33.8,49.5,25,17.2,17,11.7,X,09,27243,61.5
743,Total Cohort,09X525,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,2003,179,110,61.5,59,33.0,53.6,3,1.7,2.7,56,31.3,50.9,51,28.5,46.4,42,23.5,20,11.2,X,09,27243,62.2
744,Total Cohort,09X525,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,2004,143,89,62.2,57,39.9,64.0,3,2.1,3.4,54,37.8,60.7,32,22.4,36.0,35,24.5,13,9.1,X,09,27243,60.3
745,Total Cohort,09X525,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,2005,156,94,60.3,59,37.8,62.8,13,8.3,13.8,46,29.5,48.9,35,22.4,37.2,38,24.4,14,9.0,X,09,27243,71.3
746,Total Cohort,09X525,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,2006,178,127,71.3,97,54.5,76.4,16,9.0,12.6,81,45.5,63.8,30,16.9,23.6,12,6.7,32,18.0,X,09,27243,
747,Total Cohort,09X543,HIGH SCHOOL FOR VIOLIN AND DANCE,2002,44,29,65.9,7,15.9,24.1,0,0.0,0.0,7,15.9,24.1,22,50.0,75.9,10,22.7,2,4.5,X,09,27243,66.0
748,Total Cohort,09X543,HIGH SCHOOL FOR VIOLIN AND DANCE,2003,47,31,66.0,22,46.8,71.0,0,0.0,0.0,22,46.8,71.0,9,19.1,29.0,10,21.3,5,10.6,X,09,27243,79.2
749,Total Cohort,09X543,HIGH SCHOOL FOR VIOLIN AND DANCE,2004,48,38,79.2,17,35.4,44.7,0,0.0,0.0,17,35.4,44.7,21,43.8,55.3,7,14.6,3,6.3,X,09,27243,82.1
750,Total Cohort,09X543,HIGH SCHOOL FOR VIOLIN AND DANCE,2005,39,32,82.1,26,66.7,81.3,2,5.1,6.3,24,61.5,75.0,6,15.4,18.8,1,2.6,5,12.8,X,09,27243,83.0
751,Total Cohort,09X543,HIGH SCHOOL FOR VIOLIN AND DANCE,2006,47,39,83.0,32,68.1,82.1,6,12.8,15.4,26,55.3,66.7,7,14.9,17.9,5,10.6,2,4.3,X,09,27243,
752,Total Cohort,05M285,HARLEM RENAISSANCE HIGH SCHOOL,2001,5,s,,s,,,s,,,s,,,s,,,s,,s,,M,05,36697,2.1
753,Total Cohort,05M285,HARLEM RENAISSANCE HIGH SCHOOL,2002,48,1,2.1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,2.1,100.0,36,75.0,11,22.9,M,05,36697,5.6
754,Total Cohort,05M285,HARLEM RENAISSANCE HIGH SCHOOL,2003,71,4,5.6,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,4,5.6,100.0,39,54.9,28,39.4,M,05,36697,3.9
755,Total Cohort,05M285,HARLEM RENAISSANCE HIGH SCHOOL,2004,77,3,3.9,1,1.3,33.3,0,0.0,0.0,1,1.3,33.3,2,2.6,66.7,52,67.5,22,28.6,M,05,36697,8.2
756,Total Cohort,05M285,HARLEM RENAISSANCE HIGH SCHOOL,2005,85,7,8.2,1,1.2,14.3,0,0.0,0.0,1,1.2,14.3,6,7.1,85.7,50,58.8,24,28.2,M,05,36697,13.6
757,Total Cohort,05M285,HARLEM RENAISSANCE HIGH SCHOOL,2006,81,11,13.6,6,7.4,54.5,0,0.0,0.0,6,7.4,54.5,5,6.2,45.5,50,61.7,18,22.2,M,05,36697,
758,Total Cohort,05M304,MOTT HALL HIGH SCHOOL,2002,1,s,,s,,,s,,,s,,,s,,,s,,s,,M,05,36697,
759,Total Cohort,05M304,MOTT HALL HIGH SCHOOL,2003,5,s,,s,,,s,,,s,,,s,,,s,,s,,M,05,36697,64.7
760,Total Cohort,05M304,MOTT HALL HIGH SCHOOL,2004,85,55,64.7,53,62.4,96.4,3,3.5,5.5,50,58.8,90.9,2,2.4,3.6,27,31.8,3,3.5,M,05,36697,75.0
761,Total Cohort,05M304,MOTT HALL HIGH SCHOOL,2005,92,69,75.0,67,72.8,97.1,2,2.2,2.9,65,70.7,94.2,2,2.2,2.9,14,15.2,7,7.6,M,05,36697,76.0
762,Total Cohort,05M304,MOTT HALL HIGH SCHOOL,2006,96,73,76.0,67,69.8,91.8,8,8.3,11.0,59,61.5,80.8,6,6.3,8.2,8,8.3,7,7.3,M,05,36697,
763,Total Cohort,05M369,URBAN ASSEMBLY SCHOOL FOR THE PERFORM,2005,1,s,,s,,,s,,,s,,,s,,,s,,s,,M,05,36697,72.59999999999998
764,Total Cohort,05M369,URBAN ASSEMBLY SCHOOL FOR THE PERFORM,2006,62,45,72.59999999999998,43,69.4,95.6,0,0.0,0.0,43,69.4,95.6,2,3.2,4.4,7,11.3,10,16.1,M,05,36697,
765,Total Cohort,05M469,CHOIR ACADEMY OF HARLEM,2001,37,27,73.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,27,73.0,100.0,8,21.6,0,0.0,M,05,36697,76.09999999999998
766,Total Cohort,05M469,CHOIR ACADEMY OF HARLEM,2002,46,35,76.09999999999998,6,13.0,17.1,0,0.0,0.0,6,13.0,17.1,29,63.0,82.9,11,23.9,0,0.0,M,05,36697,71.2
767,Total Cohort,05M469,CHOIR ACADEMY OF HARLEM,2003,52,37,71.2,11,21.2,29.7,0,0.0,0.0,11,21.2,29.7,26,50.0,70.3,14,26.9,1,1.9,M,05,36697,62.1
768,Total Cohort,05M469,CHOIR ACADEMY OF HARLEM,2004,58,36,62.1,17,29.3,47.2,2,3.4,5.6,15,25.9,41.7,19,32.8,52.8,19,32.8,3,5.2,M,05,36697,56.0
769,Total Cohort,05M469,CHOIR ACADEMY OF HARLEM,2005,84,47,56.0,23,27.4,48.9,1,1.2,2.1,22,26.2,46.8,24,28.6,51.1,21,25.0,10,11.9,M,05,36697,71.8
770,Total Cohort,05M469,CHOIR ACADEMY OF HARLEM,2006,39,28,71.8,17,43.6,60.7,0,0.0,0.0,17,43.6,60.7,11,28.2,39.3,6,15.4,4,10.3,M,05,36697,
771,Total Cohort,05M499,FREDERICK DOUGLASS ACADEMY,2001,134,121,90.3,115,85.8,95.0,75,56.0,62.0,40,29.9,33.1,6,4.5,5.0,7,5.2,3,2.2,M,05,36697,78.9
772,Total Cohort,05M499,FREDERICK DOUGLASS ACADEMY,2002,171,135,78.9,110,64.3,81.5,44,25.7,32.6,66,38.6,48.9,25,14.6,18.5,19,11.1,6,3.5,M,05,36697,84.3
773,Total Cohort,05M499,FREDERICK DOUGLASS ACADEMY,2003,197,166,84.3,156,79.2,94.0,56,28.4,33.7,100,50.8,60.2,10,5.1,6.0,21,10.7,7,3.6,M,05,36697,67.8
774,Total Cohort,05M499,FREDERICK DOUGLASS ACADEMY,2004,208,141,67.8,135,64.9,95.7,42,20.2,29.8,93,44.7,66.0,6,2.9,4.3,56,26.9,11,5.3,M,05,36697,78.8
775,Total Cohort,05M499,FREDERICK DOUGLASS ACADEMY,2005,212,167,78.8,154,72.59999999999998,92.2,60,28.3,35.9,94,44.3,56.3,13,6.1,7.8,31,14.6,7,3.3,M,05,36697,84.9
776,Total Cohort,05M499,FREDERICK DOUGLASS ACADEMY,2006,259,220,84.9,211,81.5,95.9,77,29.7,35.0,134,51.7,60.9,9,3.5,4.1,26,10.0,9,3.5,M,05,36697,
777,Total Cohort,05M670,THURGOOD MARSHALL ACADEMY FOR LEARNIN,2001,72,60,83.3,25,34.7,41.7,0,0.0,0.0,25,34.7,41.7,35,48.6,58.3,6,8.3,4,5.6,M,05,36697,81.5
778,Total Cohort,05M670,THURGOOD MARSHALL ACADEMY FOR LEARNIN,2002,54,44,81.5,17,31.5,38.6,0,0.0,0.0,17,31.5,38.6,27,50.0,61.4,8,14.8,2,3.7,M,05,36697,66.7
779,Total Cohort,05M670,THURGOOD MARSHALL ACADEMY FOR LEARNIN,2003,72,48,66.7,17,23.6,35.4,0,0.0,0.0,17,23.6,35.4,31,43.1,64.6,16,22.2,7,9.7,M,05,36697,73.9
780,Total Cohort,05M670,THURGOOD MARSHALL ACADEMY FOR LEARNIN,2004,88,65,73.9,37,42.0,56.9,0,0.0,0.0,37,42.0,56.9,28,31.8,43.1,15,17.0,3,3.4,M,05,36697,87.9
781,Total Cohort,05M670,THURGOOD MARSHALL ACADEMY FOR LEARNIN,2005,99,87,87.9,61,61.6,70.1,7,7.1,8.0,54,54.5,62.1,26,26.3,29.9,8,8.1,2,2.0,M,05,36697,71.6
782,Total Cohort,05M670,THURGOOD MARSHALL ACADEMY FOR LEARNIN,2006,95,68,71.6,58,61.1,85.3,1,1.1,1.5,57,60.0,83.8,10,10.5,14.7,14,14.7,10,10.5,M,05,36697,
783,Total Cohort,05M685,BREAD  &  ROSES INTEGRATED ARTS HIGH,2001,72,42,58.3,28,38.9,66.7,0,0.0,0.0,28,38.9,66.7,14,19.4,33.3,21,29.2,6,8.3,M,05,36697,50.7
784,Total Cohort,05M685,BREAD  &  ROSES INTEGRATED ARTS HIGH,2002,73,37,50.7,27,37.0,73.0,0,0.0,0.0,27,37.0,73.0,10,13.7,27.0,23,31.5,12,16.4,M,05,36697,42.9
785,Total Cohort,05M685,BREAD  &  ROSES INTEGRATED ARTS HIGH,2003,91,39,42.9,22,24.2,56.4,0,0.0,0.0,22,24.2,56.4,17,18.7,43.6,22,24.2,21,23.1,M,05,36697,47.3
786,Total Cohort,05M685,BREAD  &  ROSES INTEGRATED ARTS HIGH,2004,91,43,47.3,29,31.9,67.4,0,0.0,0.0,29,31.9,67.4,14,15.4,32.6,32,35.20000000000001,14,15.4,M,05,36697,57.0
787,Total Cohort,05M685,BREAD  &  ROSES INTEGRATED ARTS HIGH,2005,135,77,57.0,61,45.2,79.2,3,2.2,3.9,58,43.0,75.3,16,11.9,20.8,40,29.6,13,9.6,M,05,36697,54.5
788,Total Cohort,05M685,BREAD  &  ROSES INTEGRATED ARTS HIGH,2006,121,66,54.5,37,30.6,56.1,0,0.0,0.0,37,30.6,56.1,29,24.0,43.9,20,16.5,22,18.2,M,05,36697,
789,Total Cohort,05M692,HIGH SCHOOL FOR MATHEMATICS  SCIENCE,2002,85,1,1.2,1,1.2,100.0,1,1.2,100.0,0,0.0,0.0,0,0.0,0.0,1,1.2,1,1.2,M,05,36697,100.0
790,Total Cohort,05M692,HIGH SCHOOL FOR MATHEMATICS  SCIENCE,2003,80,80,100.0,80,100.0,100.0,66,82.5,82.5,14,17.5,17.5,0,0.0,0.0,0,0.0,0,0.0,M,05,36697,98.3
791,Total Cohort,05M692,HIGH SCHOOL FOR MATHEMATICS  SCIENCE,2004,118,116,98.3,116,98.3,100.0,102,86.4,87.9,14,11.9,12.1,0,0.0,0.0,2,1.7,0,0.0,M,05,36697,99.1
792,Total Cohort,05M692,HIGH SCHOOL FOR MATHEMATICS  SCIENCE,2005,108,107,99.1,107,99.1,100.0,102,94.4,95.3,5,4.6,4.7,0,0.0,0.0,0,0.0,1,0.9,M,05,36697,99.1
793,Total Cohort,05M692,HIGH SCHOOL FOR MATHEMATICS  SCIENCE,2006,106,105,99.1,105,99.1,100.0,94,88.7,89.5,11,10.4,10.5,0,0.0,0.0,1,0.9,0,0.0,M,05,36697,
794,Total Cohort,10X284,BRONX SCHOOL OF LAW AND FINANCE,2001,1,s,,s,,,s,,,s,,,s,,,s,,s,,X,10,24590,
795,Total Cohort,10X284,BRONX SCHOOL OF LAW AND FINANCE,2002,4,s,,s,,,s,,,s,,,s,,,s,,s,,X,10,24590,69.9
796,Total Cohort,10X141,RIVERDALE / KINGSBRIDGE ACADEMY (MIDD,2001,89,70,78.7,35,39.3,50.0,0,0.0,0.0,35,39.3,50.0,35,39.3,50.0,17,19.1,2,2.2,X,10,24590,81.5
797,Total Cohort,10X141,RIVERDALE / KINGSBRIDGE ACADEMY (MIDD,2002,130,106,81.5,47,36.2,44.3,9,6.9,8.5,38,29.2,35.8,59,45.4,55.7,20,15.4,3,2.3,X,10,24590,84.9
798,Total Cohort,10X141,RIVERDALE / KINGSBRIDGE ACADEMY (MIDD,2003,93,79,84.9,61,65.6,77.2,15,16.1,19.0,46,49.5,58.2,18,19.4,22.8,9,9.7,2,2.2,X,10,24590,81.4
799,Total Cohort,10X141,RIVERDALE / KINGSBRIDGE ACADEMY (MIDD,2004,140,114,81.4,86,61.4,75.4,25,17.9,21.9,61,43.6,53.5,28,20.0,24.6,20,14.3,4,2.9,X,10,24590,77.8
800,Total Cohort,10X141,RIVERDALE / KINGSBRIDGE ACADEMY (MIDD,2005,135,105,77.8,78,57.8,74.3,17,12.6,16.2,61,45.2,58.1,27,20.0,25.7,22,16.3,6,4.4,X,10,24590,89.6
801,Total Cohort,10X141,RIVERDALE / KINGSBRIDGE ACADEMY (MIDD,2006,135,121,89.6,107,79.3,88.4,18,13.3,14.9,89,65.9,73.59999999999998,14,10.4,11.6,8,5.9,5,3.7,X,10,24590,
802,Total Cohort,10X213,BRONX ENGINEERING AND TECHNOLOGY ACAD,2003,2,s,,s,,,s,,,s,,,s,,,s,,s,,X,10,24590,88.7
803,Total Cohort,10X213,BRONX ENGINEERING AND TECHNOLOGY ACAD,2004,62,55,88.7,54,87.1,98.2,7,11.3,12.7,47,75.8,85.5,1,1.6,1.8,1,1.6,2,3.2,X,10,24590,75.0
804,Total Cohort,10X213,BRONX ENGINEERING AND TECHNOLOGY ACAD,2005,76,57,75.0,43,56.6,75.4,22,28.9,38.6,21,27.6,36.8,14,18.4,24.6,6,7.9,9,11.8,X,10,24590,82.2
805,Total Cohort,10X213,BRONX ENGINEERING AND TECHNOLOGY ACAD,2006,73,60,82.2,45,61.6,75.0,11,15.1,18.3,34,46.6,56.7,15,20.5,25.0,7,9.6,4,5.5,X,10,24590,
806,Total Cohort,10X225,THEATRE ARTS PRODUCTION COMPANY SCHOO,2005,71,65,91.5,53,74.59999999999998,81.5,4,5.6,6.2,49,69.0,75.4,12,16.9,18.5,5,7.0,1,1.4,X,10,24590,93.5
807,Total Cohort,10X225,THEATRE ARTS PRODUCTION COMPANY SCHOO,2006,62,58,93.5,49,79.0,84.5,13,21.0,22.4,36,58.1,62.1,9,14.5,15.5,3,4.8,1,1.6,X,10,24590,
808,Total Cohort,10X237,THE MARIE CURIE SCHOOL FOR MEDICINE,2004,82,73,89.0,55,67.1,75.3,0,0.0,0.0,55,67.1,75.3,18,22.0,24.7,8,9.8,1,1.2,X,10,24590,90.3
809,Total Cohort,10X237,THE MARIE CURIE SCHOOL FOR MEDICINE,2005,72,65,90.3,49,68.1,75.4,1,1.4,1.5,48,66.7,73.8,16,22.2,24.6,4,5.6,2,2.8,X,10,24590,77.59999999999998
810,Total Cohort,10X237,THE MARIE CURIE SCHOOL FOR MEDICINE,2006,67,52,77.59999999999998,38,56.7,73.09999999999998,0,0.0,0.0,38,56.7,73.09999999999998,14,20.9,26.9,12,17.9,3,4.5,X,10,24590,
811,Total Cohort,10X243,WEST BRONX ACADEMY FOR THE FUTURE,2001,1,s,,s,,,s,,,s,,,s,,,s,,s,,X,10,24590,
812,Total Cohort,10X243,WEST BRONX ACADEMY FOR THE FUTURE,2002,1,s,,s,,,s,,,s,,,s,,,s,,s,,X,10,24590,
813,Total Cohort,10X243,WEST BRONX ACADEMY FOR THE FUTURE,2003,3,s,,s,,,s,,,s,,,s,,,s,,s,,X,10,24590,28.8
814,Total Cohort,10X243,WEST BRONX ACADEMY FOR THE FUTURE,2004,73,21,28.8,9,12.3,42.9,0,0.0,0.0,9,12.3,42.9,12,16.4,57.1,35,47.9,16,21.9,X,10,24590,51.4
815,Total Cohort,10X243,WEST BRONX ACADEMY FOR THE FUTURE,2005,72,37,51.4,15,20.8,40.5,0,0.0,0.0,15,20.8,40.5,22,30.6,59.5,22,30.6,8,11.1,X,10,24590,56.9
816,Total Cohort,10X243,WEST BRONX ACADEMY FOR THE FUTURE,2006,72,41,56.9,30,41.7,73.2,2,2.8,4.9,28,38.9,68.3,11,15.3,26.8,11,15.3,12,16.7,X,10,24590,
817,Total Cohort,10X268,KINGSBRIDGE INTERNATIONAL HIGH SCHOOL,2005,127,73,57.5,42,33.1,57.5,14,11.0,19.2,28,22.0,38.4,31,24.4,42.5,24,18.9,28,22.0,X,10,24590,61.9
818,Total Cohort,10X268,KINGSBRIDGE INTERNATIONAL HIGH SCHOOL,2006,118,73,61.9,42,35.6,57.5,12,10.2,16.4,30,25.4,41.1,31,26.3,42.5,31,26.3,13,11.0,X,10,24590,
819,Total Cohort,10X284,BRONX SCHOOL OF LAW AND FINANCE,2003,83,58,69.9,49,59.0,84.5,6,7.2,10.3,43,51.8,74.09999999999998,9,10.8,15.5,15,18.1,9,10.8,X,10,24590,75.9
820,Total Cohort,10X284,BRONX SCHOOL OF LAW AND FINANCE,2004,79,60,75.9,47,59.5,78.3,7,8.9,11.7,40,50.6,66.7,13,16.5,21.7,14,17.7,5,6.3,X,10,24590,66.7
821,Total Cohort,10X284,BRONX SCHOOL OF LAW AND FINANCE,2005,105,70,66.7,57,54.3,81.4,10,9.5,14.3,47,44.8,67.1,13,12.4,18.6,20,19.0,11,10.5,X,10,24590,67.7
822,Total Cohort,10X284,BRONX SCHOOL OF LAW AND FINANCE,2006,99,67,67.7,55,55.6,82.1,5,5.1,7.5,50,50.5,74.59999999999998,12,12.1,17.9,8,8.1,19,19.2,X,10,24590,
823,Total Cohort,10X319,PROVIDING URBAN LEARNERS SUCCESS IN E,2001,10,s,,s,,,s,,,s,,,s,,,s,,s,,X,10,24590,0.0
824,Total Cohort,10X319,PROVIDING URBAN LEARNERS SUCCESS IN E,2002,43,0,0.0,0,0.0,,0,0.0,,0,0.0,,0,0.0,,33,76.7,10,23.3,X,10,24590,35.3
825,Total Cohort,10X319,PROVIDING URBAN LEARNERS SUCCESS IN E,2003,51,18,35.3,18,35.3,100.0,0,0.0,0.0,18,35.3,100.0,0,0.0,0.0,22,43.1,11,21.6,X,10,24590,50.0
826,Total Cohort,10X319,PROVIDING URBAN LEARNERS SUCCESS IN E,2004,36,18,50.0,2,5.6,11.1,0,0.0,0.0,2,5.6,11.1,16,44.4,88.9,14,38.9,4,11.1,X,10,24590,29.3
827,Total Cohort,10X319,PROVIDING URBAN LEARNERS SUCCESS IN E,2005,82,24,29.3,3,3.7,12.5,0,0.0,0.0,3,3.7,12.5,21,25.6,87.5,33,40.2,22,26.8,X,10,24590,25.7
828,Total Cohort,10X319,PROVIDING URBAN LEARNERS SUCCESS IN E,2006,113,29,25.7,22,19.5,75.9,0,0.0,0.0,22,19.5,75.9,7,6.2,24.1,57,50.4,24,21.2,X,10,24590,
829,Total Cohort,10X342,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,2004,4,s,,s,,,s,,,s,,,s,,,s,,s,,X,10,24590,72.2
830,Total Cohort,10X342,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,2005,90,65,72.2,62,68.9,95.4,27,30.0,41.5,35,38.9,53.8,3,3.3,4.6,19,21.1,3,3.3,X,10,24590,59.0
831,Total Cohort,10X342,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,2006,83,49,59.0,38,45.8,77.59999999999998,0,0.0,0.0,38,45.8,77.59999999999998,11,13.3,22.4,23,27.7,10,12.0,X,10,24590,
832,Total Cohort,10X368,IN-TECH ACADEMY (M.S. / HIGH SCHOOL 3,2003,83,56,67.5,28,33.7,50.0,1,1.2,1.8,27,32.5,48.2,28,33.7,50.0,19,22.9,8,9.6,X,10,24590,59.1
833,Total Cohort,10X368,IN-TECH ACADEMY (M.S. / HIGH SCHOOL 3,2004,110,65,59.1,28,25.5,43.1,3,2.7,4.6,25,22.7,38.5,37,33.6,56.9,28,25.5,16,14.5,X,10,24590,61.6
834,Total Cohort,10X368,IN-TECH ACADEMY (M.S. / HIGH SCHOOL 3,2005,125,77,61.6,45,36.0,58.4,11,8.800000000000002,14.3,34,27.2,44.2,32,25.6,41.6,26,20.8,17,13.6,X,10,24590,68.7
835,Total Cohort,10X368,IN-TECH ACADEMY (M.S. / HIGH SCHOOL 3,2006,115,79,68.7,38,33.0,48.1,5,4.3,6.3,33,28.7,41.8,41,35.70000000000001,51.9,21,18.3,14,12.2,X,10,24590,
836,Total Cohort,10X374,KNOWLEDGE AND POWER PREPARATORY ACADE,2005,1,s,,s,,,s,,,s,,,s,,,s,,s,,X,10,24590,
837,Total Cohort,10X374,KNOWLEDGE AND POWER PREPARATORY ACADE,2006,2,s,,s,,,s,,,s,,,s,,,s,,s,,X,10,24590,
838,Total Cohort,10X397,ENGLISH LANGUAGE LEARNERS AND INTERNA,2006,3,s,,s,,,s,,,s,,,s,,,s,,s,,X,10,24590,
839,Total Cohort,10X410,WILLIAM H. TAFT HIGH SCHOOL,2001,328,67,20.4,2,0.6,3.0,0,0.0,0.0,2,0.6,3.0,65,19.8,97.0,56,17.1,198,60.4,X,10,24590,19.9
840,Total Cohort,10X410,WILLIAM H. TAFT HIGH SCHOOL,2002,141,28,19.9,1,0.7,3.6,0,0.0,0.0,1,0.7,3.6,27,19.1,96.4,9,6.4,97,68.8,X,10,24590,
841,Total Cohort,10X410,WILLIAM H. TAFT HIGH SCHOOL,2003,15,s,,s,,,s,,,s,,,s,,,s,,s,,X,10,24590,
842,Total Cohort,10X410,WILLIAM H. TAFT HIGH SCHOOL,2004,1,s,,s,,,s,,,s,,,s,,,s,,s,,X,10,24590,
843,Total Cohort,10X430,WALTON HIGH SCHOOL,2001,761,226,29.7,66,8.7,29.2,14,1.8,6.2,52,6.8,23.0,160,21.0,70.8,314,41.3,176,23.1,X,10,24590,28.9
844,Total Cohort,10X430,WALTON HIGH SCHOOL,2002,772,223,28.9,83,10.8,37.2,6,0.8,2.7,77,10.0,34.5,140,18.1,62.8,353,45.7,181,23.4,X,10,24590,31.4
845,Total Cohort,10X430,WALTON HIGH SCHOOL,2003,628,197,31.4,75,11.9,38.1,10,1.6,5.1,65,10.4,33.0,122,19.4,61.9,209,33.3,205,32.6,X,10,24590,47.5
846,Total Cohort,10X430,WALTON HIGH SCHOOL,2004,324,154,47.5,28,8.6,18.2,9,2.8,5.8,19,5.9,12.3,126,38.9,81.8,59,18.2,91,28.1,X,10,24590,
847,Total Cohort,10X430,WALTON HIGH SCHOOL,2005,4,s,,s,,,s,,,s,,,s,,,s,,s,,X,10,24590,
848,Total Cohort,10X433,HIGH SCHOOL FOR TEACHING AND THE PROF,2001,44,39,88.6,28,63.6,71.8,2,4.5,5.1,26,59.1,66.7,11,25.0,28.2,4,9.1,0,0.0,X,10,24590,53.5
849,Total Cohort,10X433,HIGH SCHOOL FOR TEACHING AND THE PROF,2002,129,69,53.5,42,32.6,60.9,4,3.1,5.8,38,29.5,55.1,27,20.9,39.1,46,35.70000000000001,11,8.5,X,10,24590,59.8
850,Total Cohort,10X433,HIGH SCHOOL FOR TEACHING AND THE PROF,2003,122,73,59.8,28,23.0,38.4,4,3.3,5.5,24,19.7,32.9,45,36.9,61.6,33,27.0,15,12.3,X,10,24590,57.7
